scope,extra_docs,query_tag,lang,query,n_trials,pool_docs_mean,pool_chunks_mean,top1_score_mean,top1_score_std,top3_mean_score_mean,top3_mean_score_std,top10_mean_score_mean,top10_mean_score_std,max_score_mean,max_score_std,iaea_purity_topk_mean,iaea_purity_topk_std,first_iaea_rank_mean,first_iaea_rank_std
IAEA_only,0,core_term,en,neutron,1,13.0,5969.0,0.6627007722854614,0.0,0.6592724720637003,0.0,0.6482249796390533,0.0,0.6627007722854614,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,core_term,zh,中子,1,13.0,5969.0,0.5198912024497986,0.0,0.5101060072580973,0.0,0.499345076084137,0.0,0.5198912024497986,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,phrase,en,neutron measurement current,1,13.0,5969.0,0.6875819563865662,0.0,0.6734157800674438,0.0,0.6549849927425384,0.0,0.6875819563865662,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,phrase,zh,中子测量电流,1,13.0,5969.0,0.5450960993766785,0.0,0.5396697918574015,0.0,0.5343658208847046,0.0,0.5450960993766785,0.0,1.0,0.0,1.0,0.0
IAEA_plus_10,10,core_term,en,neutron,10,23.0,9258.4,0.6643378257751464,0.0027856072260505366,0.6610805571079255,0.003001527251485809,0.6513283944129944,0.004803803865144716,0.6643378257751464,0.0027856072260505366,0.86,0.20655911179772887,1.8,1.475729574745244
IAEA_plus_10,10,core_term,zh,中子,10,23.0,9258.4,0.575355839729309,0.03781384545122281,0.569832319021225,0.037235716397480675,0.5635800844430924,0.03753101465863291,0.575355839729309,0.03781384545122281,0.01,0.03162277660168379,0.4,1.2649110640673518
IAEA_plus_10,10,phrase,en,neutron measurement current,10,23.0,9258.4,0.6875819563865662,0.0,0.6738535900910695,0.0007153175694870207,0.6569671243429184,0.002105978565352705,0.6875819563865662,0.0,0.89,0.11005049346146119,1.0,0.0
IAEA_plus_10,10,phrase,zh,中子测量电流,10,23.0,9258.4,0.6259298980236053,0.040294345619356624,0.6195492029190064,0.037781250264402974,0.6123265188932419,0.038598474217109935,0.6259298980236053,0.040294345619356624,0.0,0.0,0.0,0.0
IAEA_plus_15,15,core_term,en,neutron,10,28.0,10375.1,0.6663058876991272,0.0032621782589229912,0.6627813220024109,0.0032196138521646952,0.6541971784830094,0.0049924810532835165,0.6663058876991272,0.0032621782589229912,0.67,0.2057506581601462,2.4,1.6465452046971292
IAEA_plus_15,15,core_term,zh,中子,10,28.0,10375.1,0.6025190591812134,0.0227215268099796,0.598595921198527,0.023283485212702355,0.5924013382196426,0.024365840352850825,0.6025190591812134,0.0227215268099796,0.0,0.0,0.0,0.0
IAEA_plus_15,15,phrase,en,neutron measurement current,10,28.0,10375.1,0.6875819563865662,0.0,0.6750547389189402,0.0023990265007242497,0.6605504596233368,0.005596837090313915,0.6875819563865662,0.0,0.75,0.1957890020745122,1.0,0.0
IAEA_plus_15,15,phrase,zh,中子测量电流,10,28.0,10375.1,0.6535441100597381,0.027099773212654513,0.6481058657169342,0.027164582005082878,0.6404240375757217,0.02930177203823264,0.6535441100597381,0.027099773212654513,0.0,0.0,0.0,0.0
IAEA_plus_20,20,core_term,en,neutron,10,33.0,11483.2,0.667617928981781,0.0027895270607359137,0.6631006797154745,0.002045203761514462,0.6534487903118134,0.00261032668584671,0.667617928981781,0.0027895270607359137,0.71,0.09944289260117535,2.0,0.816496580927726
IAEA_plus_20,20,core_term,zh,中子,10,33.0,11483.2,0.6114505648612976,0.006736513602165317,0.6027409454186757,0.017847123750490294,0.5938614666461944,0.028321490725902183,0.6114505648612976,0.006736513602165317,0.0,0.0,0.0,0.0
IAEA_plus_20,20,phrase,en,neutron measurement current,10,33.0,11483.2,0.6875819563865662,0.0,0.6771948993206024,0.0029189504374069497,0.6648267894983292,0.006178908004105572,0.6875819563865662,0.0,0.6,0.21081851067789195,1.0,0.0
IAEA_plus_20,20,phrase,zh,中子测量电流,10,33.0,11483.2,0.6628818929195404,0.00138653158596106,0.6528777519861857,0.01769814293608339,0.6448541545867921,0.028668979785000125,0.6628818929195404,0.00138653158596106,0.0,0.0,0.0,0.0
IAEA_plus_25,25,core_term,en,neutron,10,38.0,13868.2,0.666624903678894,0.0025908028506254504,0.6640335043271383,0.002716402922562241,0.6562276041507721,0.004415985294823268,0.666624903678894,0.0025908028506254504,0.61,0.15238839267549947,3.2,1.5491933384829668
IAEA_plus_25,25,core_term,zh,中子,10,38.0,13868.2,0.612117612361908,0.005807941457863941,0.6100180367628734,0.005232534250946766,0.6045998632907867,0.009671698804762645,0.612117612361908,0.005807941457863941,0.0,0.0,0.0,0.0
IAEA_plus_25,25,phrase,en,neutron measurement current,10,38.0,13868.2,0.6875819563865662,0.0,0.6787005146344502,0.0015200216422669788,0.6683615267276763,0.002413418696790301,0.6875819563865662,0.0,0.44000000000000006,0.06992058987801009,1.0,0.0
IAEA_plus_25,25,phrase,zh,中子测量电流,10,38.0,13868.2,0.6634694755077362,0.004395444932387393,0.6609028299649556,0.004435396046099784,0.6549261808395386,0.011600948709839735,0.6634694755077362,0.004395444932387393,0.0,0.0,0.0,0.0
IAEA_plus_30,30,core_term,en,neutron,10,43.0,14774.4,0.6682739496231079,0.00221737338561088,0.665398383140564,0.002516775563133089,0.6585453867912292,0.004438044285239605,0.6682739496231079,0.00221737338561088,0.5,0.1632993161855452,3.9,1.5951314818673865
IAEA_plus_30,30,core_term,zh,中子,10,43.0,14774.4,0.6132875740528106,0.005377408677311623,0.6106772859891255,0.004954549593824965,0.6061045348644256,0.008349153546223316,0.6132875740528106,0.005377408677311623,0.0,0.0,0.0,0.0
IAEA_plus_30,30,phrase,en,neutron measurement current,10,43.0,14774.4,0.6875819563865662,0.0,0.6775546034177145,0.001977250862377044,0.6671918272972107,0.003673094576944802,0.6875819563865662,0.0,0.45999999999999996,0.08432740427115676,1.0,0.0
IAEA_plus_30,30,phrase,zh,中子测量电流,10,43.0,14774.4,0.6648437201976776,0.0016492389927184404,0.6619520982106526,0.0028391801585067014,0.6565676879882812,0.009514796153111606,0.6648437201976776,0.0016492389927184404,0.0,0.0,0.0,0.0
IAEA_plus_35,35,core_term,en,neutron,10,48.0,15875.4,0.6682739496231079,0.00221737338561088,0.6650929510593414,0.0024889691078512875,0.6578441798686981,0.004470598267460959,0.6682739496231079,0.00221737338561088,0.53,0.170293863659264,3.6,1.6465452046971292
IAEA_plus_35,35,core_term,zh,中子,10,48.0,15875.4,0.6151245832443237,0.0022256044993409388,0.6123621503512064,0.0009683043445852228,0.6082599741220475,0.001729254209247967,0.6151245832443237,0.0022256044993409388,0.0,0.0,0.0,0.0
IAEA_plus_35,35,phrase,en,neutron measurement current,10,48.0,15875.4,0.6875819563865662,0.0,0.6781022151311238,0.0021277553509687166,0.6677376353740693,0.004352975283986993,0.6875819563865662,0.0,0.48,0.11352924243950932,1.0,0.0
IAEA_plus_35,35,phrase,zh,中子测量电流,10,48.0,15875.4,0.6648342847824097,0.001307491140075881,0.6627041975657145,0.0010395407649111254,0.6590948551893234,0.001525818803372703,0.6648342847824097,0.001307491140075881,0.0,0.0,0.0,0.0
IAEA_plus_40,40,core_term,en,neutron,10,53.0,17606.5,0.6689299702644348,0.0010467405771004605,0.6661689261595408,0.0013349224605907143,0.6597375875711441,0.0030912392681134602,0.6689299702644348,0.0010467405771004605,0.45999999999999996,0.10749676997731397,4.3,1.2516655570345725
IAEA_plus_40,40,core_term,zh,中子,10,53.0,17606.5,0.6154331207275391,0.0022917996721274797,0.6124655922253927,0.0017805235938918196,0.6091135138273239,0.0018677632160218139,0.6154331207275391,0.0022917996721274797,0.0,0.0,0.0,0.0
IAEA_plus_40,40,phrase,en,neutron measurement current,10,53.0,17606.5,0.6875819563865662,0.0,0.6777417103449503,0.002184045020257292,0.6677041792869568,0.004379994539711456,0.6875819563865662,0.0,0.45999999999999996,0.10749676997731397,1.0,0.0
IAEA_plus_40,40,phrase,zh,中子测量电流,10,53.0,17606.5,0.6652187943458557,0.001355302134790208,0.6631565372149149,0.0009423706931284847,0.659958461523056,0.0010436585582286944,0.6652187943458557,0.001355302134790208,0.0,0.0,0.0,0.0
IAEA_plus_45,45,core_term,en,neutron,10,58.0,19355.0,0.6692609786987305,0.0,0.6666724701722464,0.0009658610471487537,0.6608190006017685,0.002204554326434035,0.6692609786987305,0.0,0.42000000000000004,0.06324555320336757,4.7,0.9486832980505138
IAEA_plus_45,45,core_term,zh,中子,10,58.0,19355.0,0.616506814956665,0.0,0.6132642090320587,0.00018897021846945775,0.6100934040546417,0.00046759568913719003,0.616506814956665,0.0,0.0,0.0,0.0,0.0
IAEA_plus_45,45,phrase,en,neutron measurement current,10,58.0,19355.0,0.6875819563865662,0.0,0.6790610194206238,0.001140016231700234,0.6704350560903549,0.0021473824124786096,0.6875819563865662,0.0,0.41000000000000003,0.031622776601683784,1.0,0.0
IAEA_plus_45,45,phrase,zh,中子测量电流,10,58.0,19355.0,0.6655938684940338,0.0008006715340989386,0.663594659169515,0.000500192739727722,0.6606582409143448,0.0004052353388158835,0.6655938684940338,0.0008006715340989386,0.0,0.0,0.0,0.0
IAEA_plus_49,49,core_term,en,neutron,10,62.0,20395.0,0.6692609786987305,0.0,0.6669779022534689,0.0,0.6615161418914794,0.0,0.6692609786987305,0.0,0.4,0.0,5.0,0.0
IAEA_plus_49,49,core_term,zh,中子,10,62.0,20395.0,0.616506814956665,0.0,0.613323966662089,0.0,0.610288405418396,0.0,0.616506814956665,0.0,0.0,0.0,0.0,0.0
IAEA_plus_49,49,phrase,en,neutron measurement current,10,62.0,20395.0,0.6875819563865662,0.0,0.6794215242067972,0.0,0.6711843967437744,0.0,0.6875819563865662,0.0,0.4,0.0,1.0,0.0
IAEA_plus_49,49,phrase,zh,中子测量电流,10,62.0,20395.0,0.6658470630645752,0.0,0.6637528340021769,0.0,0.6608485996723175,0.0,0.6658470630645752,0.0,0.0,0.0,0.0,0.0
IAEA_plus_5,5,core_term,en,neutron,10,18.0,7190.2,0.6630257844924927,0.001027778841576942,0.6598449031511942,0.0018101860399678397,0.6492734622955323,0.003076437048713967,0.6630257844924927,0.001027778841576942,0.95,0.1269295517643985,1.3,0.9486832980505139
IAEA_plus_5,5,core_term,zh,中子,10,18.0,7190.2,0.5689306855201721,0.04082551291416589,0.5650327901045482,0.041602526422362424,0.55937404692173,0.04264969284530653,0.5689306855201721,0.04082551291416589,0.05,0.07071067811865477,1.6,2.2211108331943574
IAEA_plus_5,5,phrase,en,neutron measurement current,10,18.0,7190.2,0.6875819563865662,0.0,0.6743230958779652,0.0019044023140133409,0.6570416802167892,0.003835130834373139,0.6875819563865662,0.0,0.9099999999999999,0.16633299933166198,1.0,0.0
IAEA_plus_5,5,phrase,zh,中子测量电流,10,18.0,7190.2,0.6103265523910523,0.0476926181154458,0.6074276645978292,0.04753049095138362,0.6008538401126862,0.050180317106760686,0.6103265523910523,0.0476926181154458,0.06,0.107496769977314,2.3,3.8887301554906353
