model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,trial,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,0,0,0.3186507523059845,0.22795863449573517,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,0,0.3186507523059845,0.22795863449573517,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,1,0.3186507523059845,0.22897808253765106,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,2,0.3186507523059845,0.22897808253765106,0.7,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,3,0.3186507523059845,0.2306724488735199,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,4,0.3186507523059845,0.22795863449573517,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,5,0.3186507523059845,0.2282378375530243,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,6,0.3186507523059845,0.22795863449573517,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,7,0.3186507523059845,0.2293875515460968,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,8,0.3186507523059845,0.22925730049610138,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,5,9,0.3186507523059845,0.23076322674751282,0.7,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,0,0.3186507523059845,0.230686217546463,0.7,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,1,0.3186507523059845,0.23482060432434082,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,2,0.3186507523059845,0.22925730049610138,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,3,0.3186507523059845,0.23219212889671326,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,4,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,5,0.3186507523059845,0.2282378375530243,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,6,0.3186507523059845,0.2282378375530243,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,7,0.3186507523059845,0.22795863449573517,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,8,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,9,0.3186507523059845,0.23620648682117462,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,0,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,1,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,2,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,3,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,4,0.3186507523059845,0.23210136592388153,0.7,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,5,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,6,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,7,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,8,0.3186507523059845,0.2350529134273529,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,15,9,0.3186507523059845,0.2345685064792633,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,0,0.3186507523059845,0.23499257862567902,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,1,0.3186507523059845,0.23475880920886993,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,2,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,3,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,4,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,5,0.3186507523059845,0.23359207808971405,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,6,0.3186507523059845,0.2345816195011139,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,7,0.3186507523059845,0.2331826239824295,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,8,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,20,9,0.3186507523059845,0.2293875515460968,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,0,0.3186507523059845,0.23356366157531738,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,1,0.3186507523059845,0.23692376911640167,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,2,0.3186507523059845,0.23475880920886993,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,3,0.3186507523059845,0.23620648682117462,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,4,0.3186507523059845,0.23670551180839539,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,5,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,6,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,7,0.3186507523059845,0.23428840935230255,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,8,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,25,9,0.3186507523059845,0.23592638969421387,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,0,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,1,0.3186507523059845,0.24195095896720886,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,2,0.3186507523059845,0.2358979731798172,0.5,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,3,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,4,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,5,0.3186507523059845,0.24280807375907898,0.4,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,6,0.3186507523059845,0.23482060432434082,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1200,120,baseline_zh_core,中子,baseline,zh,30,7,0.3186507523059845,0.24195095896720886,0.5,1
