model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,0,1,0.6433289647102356,,0.6121511459350586,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,5,10,0.6514747023582459,0.020863823386601074,0.6198738992214203,0.00667129806709791,0.8400000000000001,0.13498971154211056,1.3,0.6749485577105528
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,10,10,0.669769561290741,0.018338879149434068,0.6358507156372071,0.015717205077684523,0.48,0.3155242550986462,3.3,2.4060109910158114
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,15,10,0.6813355386257172,0.029198690490619246,0.6350178420543671,0.013683897165907916,0.5599999999999999,0.2412928142780514,3.0,2.449489742783178
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,20,10,0.687921941280365,0.027020162727338235,0.640928989648819,0.01454871081563434,0.42000000000000004,0.25298221281347033,3.8,2.820559440174157
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,25,10,0.702964985370636,0.011245941871798113,0.6536796987056732,0.015668403399658193,0.24,0.23190036174568116,6.2,3.4253953543107007
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,30,10,0.7015123963356018,0.011290150857534554,0.6623779952526092,0.011884800823192885,0.11000000000000001,0.11972189997378647,8.2,2.9363620727393656
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,35,10,0.702964985370636,0.011245941871798122,0.6624538838863373,0.012606031973810237,0.15,0.1649915822768611,8.4,3.0258148581093915
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,40,10,0.7033826351165772,0.007501137522094507,0.6630297839641571,0.009048298627043105,0.1,0.06666666666666667,8.4,2.6331223544175333
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,45,10,0.7077404022216797,0.004593489854894128,0.670616728067398,0.0032800776772094163,0.030000000000000006,0.0483045891539648,10.6,0.6992058987801011
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,50,10,0.7091929912567139,0.0,0.672286331653595,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,51,10,0.7091929912567139,0.0,0.672286331653595,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,0,1,0.7181696891784668,,0.6793848276138306,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,5,10,0.7198078215122223,0.005180229283434484,0.6808528542518616,0.004419960218774386,0.9400000000000001,0.12649110640673517,1.1,0.31622776601683794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.7461436033248902,0.02789755225723202,0.6920446932315827,0.010047919838525592,0.8,0.15634719199411434,2.1,0.9944289260117534
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,15,10,0.7569471180438996,0.027510893984316283,0.6966142237186432,0.008724076672376362,0.6900000000000001,0.14491376746189444,2.2,0.9189365834726814
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,20,10,0.7391102850437165,0.021376056729326045,0.6949063599109649,0.010651333996563872,0.6799999999999999,0.18737959096740264,2.5,1.2692955176439846
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,25,10,0.7333833932876587,0.017285368475868666,0.6938442349433899,0.011404150621335195,0.7,0.22110831935702666,2.4,1.3498971154211057
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,30,10,0.7496668338775635,0.02476706400838882,0.7057038724422455,0.010386323897619561,0.53,0.20575065816014623,3.9,1.5951314818673863
