model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,0,1,0.6281368136405945,,0.543728232383728,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,5,10,0.6281368136405945,0.0,0.5549011349678039,0.004818387212782527,0.71,0.0737864787372622,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,10,0.6291710674762726,0.0032705977995083116,0.5647041141986847,0.01682281915125712,0.65,0.1779513042005219,1.1,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,15,10,0.6322738289833069,0.005340863841776575,0.5797409355640412,0.02198819948566865,0.48,0.16193277068654824,1.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,20,10,0.6322738289833069,0.005340863841776556,0.5889113128185273,0.01620977865696314,0.4,0.12472191289246473,1.4,0.5163977794943223
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,25,10,0.6322738289833069,0.005340863841776569,0.5857801735401154,0.01928492947657267,0.43,0.14944341180973264,1.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,30,10,0.633308082818985,0.005450996332513858,0.5908491492271424,0.01880339176060158,0.4,0.1414213562373095,1.5,0.5270462766947299
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,35,10,0.6374450981616974,0.0032705977995083233,0.6056219875812531,0.005594486874394121,0.3,0.0,1.9,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,40,10,0.6364108443260192,0.00436079706601108,0.6034908890724182,0.008790780399580625,0.3,0.0,1.8,0.4216370213557839
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,45,10,0.6374450981616974,0.0032705977995083233,0.6063442885875702,0.005799885839568091,0.3,0.0,1.9,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,50,10,0.6384793519973755,0.0,0.6081892430782319,0.0005056525635083815,0.3,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,51,10,0.6384793519973755,0.0,0.6083491444587708,0.0,0.3,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,0,1,0.6292886734008789,,0.5803533792495728,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,5,10,0.6303651690483093,0.003404178137137714,0.5843716084957122,0.004774446632566342,0.85,0.1649915822768611,1.1,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.6498702764511108,0.03522376989994831,0.5900219798088073,0.007656653922927335,0.77,0.21108186931983416,1.5,0.5270462766947299
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,15,10,0.6585463345050812,0.03995795086720894,0.591521954536438,0.007689386765106652,0.77,0.19465068427541912,1.6,0.5163977794943222
