model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std,top1_score_mean,top1_score_std
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_core,neutron,baseline,en,10,10,0.65,0.1779513042005219,1.1,0.3162277660168379,0.6291710674762726,0.0032705977995083
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.77,0.2110818693198341,1.5,0.5270462766947299,0.6498702764511108,0.0352237698999483
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,10,10,0.47,0.1494434118097325,1.0,0.0,0.2632147967815399,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.5,0.2108185106778919,1.4,0.5163977794943222,0.2674404084682464,0.0063995504024745
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.77,0.1494434118097326,1.0,0.0,0.583065390586853,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,0.64,0.2170509412813294,1.3,0.9486832980505138,0.5548263370990754,0.0164002613958447
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.62,0.2149935399546279,1.6,0.6992058987801011,0.5568305671215057,0.0132876533914189
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.47,0.1888562063228706,2.0,1.247219128924647,0.271828231215477,0.0194327379027357
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.41,0.2378141197564929,4.0,3.711842908553348,0.3172819823026657,0.0167253508100778
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.44,0.3373096170846272,4.2,4.049691346263317,0.3091566741466522,0.0178405869229889
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,10,10,0.49,0.2726414006223804,1.0,0.0,0.7392836809158325,0.0
