model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,0,1,13.0,0.5049822330474854,,0.4382036328315735,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,5,10,18.0,0.5272018373012543,0.03326500647759244,0.45984377562999723,0.03542744417030269,0.71,0.3478505426185217,2.5,3.1358146203711295
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,10,10,23.0,0.5343257069587708,0.03934826052388317,0.47586851119995116,0.04450489323590549,0.53,0.3831158803518562,3.3,4.110960958218893
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,15,10,28.0,0.5634691596031189,0.034404530364158845,0.5113174349069596,0.03990084996353238,0.2,0.20548046676563256,6.1,4.433458644845529
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,20,10,33.0,0.5782409071922302,0.01692873891229448,0.5229347825050354,0.03589689182160533,0.13999999999999999,0.17126976771553507,7.5,3.8944404818493075
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,25,10,38.0,0.588107967376709,0.013024362507080571,0.5432414978742599,0.024235988939405238,0.04,0.0843274042711568,9.6,2.9888682361946524
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,30,10,43.0,0.5722274959087372,0.02146317034913666,0.5209862947463989,0.02955471101441805,0.12000000000000002,0.10327955589886446,6.3,4.191260749066642
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,35,10,48.0,0.5786409497261047,0.01650207293068729,0.535133707523346,0.02361106193149352,0.09,0.09944289260117531,8.5,2.8771127502720115
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,40,10,53.0,0.5942859649658203,0.0,0.5562865316867829,0.002196155470704024,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,45,10,58.0,0.5911969661712646,0.009768271880310422,0.5533758938312531,0.011941094423475329,0.01,0.03162277660168379,10.6,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,50,10,63.0,0.5942859649658203,0.0,0.5571842610836029,0.0014793503852604955,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_en_core,neutron,baseline,en,51,10,64.0,0.5942859649658203,0.0,0.5581030249595642,0.0,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,0,1,13.0,0.5812032222747803,,0.5444711446762085,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,5,10,18.0,0.58459392786026,0.007148235016780483,0.5534236788749695,0.012976064851684106,0.8,0.27888667551135854,1.6,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,10,10,23.0,0.5991207003593445,0.02965700211729963,0.5631944596767425,0.010661375443632671,0.5599999999999999,0.1837873166945363,1.8,1.2292725943057181
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,15,10,28.0,0.6264788925647735,0.03565673817126422,0.5694713115692138,0.013027936551489285,0.5399999999999999,0.24129281427805144,2.8,1.7511900715418263
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,20,10,33.0,0.6025114059448242,0.028206889397972185,0.5739396512508392,0.008855937501345723,0.37,0.10593499054713804,3.0,1.763834207376394
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,25,10,38.0,0.6226062119007111,0.03349723161517406,0.5740891098976135,0.011213071745145818,0.42000000000000004,0.2299758441421379,3.0,1.563471919941143
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,30,10,43.0,0.6204288840293884,0.02875320113242838,0.5798361957073211,0.00493185635311086,0.31,0.031622776601683805,3.8,1.0327955589886444
sentence-transformers/all-MiniLM-L6-v2,baseline_en_phrase,neutron measurement current,baseline,en,35,10,48.0,0.6337422788143158,0.0326830628164352,0.5798085868358612,0.00872442605227951,0.32999999999999996,0.0674948557710553,3.5,1.7795130420052185
