model,query_id,query,family,language,extra_docs,trial,pool_docs,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,0,0,13,0.4699205756187439,0.3883191645145416,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,0,18,0.4699205756187439,0.39397960901260376,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,1,18,0.4699205756187439,0.39397960901260376,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,2,18,0.4699205756187439,0.39664220809936523,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,3,18,0.4699205756187439,0.4011627733707428,0.6,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,4,18,0.4699205756187439,0.39533472061157227,0.8,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,5,18,0.4699205756187439,0.41177454590797424,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,6,18,0.4699205756187439,0.4287450313568115,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,7,18,0.4699205756187439,0.3883191645145416,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,8,18,0.4699205756187439,0.4343954622745514,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,9,18,0.4699205756187439,0.3899756073951721,0.8,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,0,23,0.4699205756187439,0.38922885060310364,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,1,23,0.4699205756187439,0.3883191645145416,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,2,23,0.4699205756187439,0.3884109854698181,0.9,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,3,23,0.4699205756187439,0.3992301821708679,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,4,23,0.4699205756187439,0.4216230511665344,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,5,23,0.4699205756187439,0.4013547897338867,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,6,23,0.4699205756187439,0.40904784202575684,0.5,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,7,23,0.4699205756187439,0.4287450313568115,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,8,23,0.4699205756187439,0.4071529805660248,0.5,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,9,23,0.4699205756187439,0.3883191645145416,1.0,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,0,28,0.4699205756187439,0.4347350597381592,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,1,28,0.4699205756187439,0.4247903823852539,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,2,28,0.4699205756187439,0.3992301821708679,0.7,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,3,28,0.4699205756187439,0.4130246043205261,0.5,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,4,28,0.4699205756187439,0.4326980710029602,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,5,28,0.4699205756187439,0.42295679450035095,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,6,28,0.4699205756187439,0.4159007966518402,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,7,28,0.4699205756187439,0.4343954622745514,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,8,28,0.4699205756187439,0.4159007966518402,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,9,28,0.4699205756187439,0.4347251355648041,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,0,33,0.4699205756187439,0.43649452924728394,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,1,33,0.4699205756187439,0.4361347258090973,0.3,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,2,33,0.4699205756187439,0.4303007125854492,0.4,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,3,33,0.4699205756187439,0.42917031049728394,0.4,1
