model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,0,1,13.0,0.5592576265335083,,0.5306119918823242,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,5,10,18.0,0.6009291589260102,0.039305668304594164,0.5530634820461273,0.019251959822565976,0.58,0.35839146815241635,3.5,2.273030282830976
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,10,10,23.0,0.6526921451091766,0.04024381685536182,0.6061173975467682,0.04119338631677983,0.14,0.27968235951204046,8.9,3.3482997343593826
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,15,10,28.0,0.6587117910385132,0.02537587482977147,0.6181868016719818,0.03195506341900459,0.06000000000000001,0.12649110640673517,9.8,2.14993539954628
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,20,10,33.0,0.6798439085483551,0.024948734038763774,0.6461182236671448,0.024445510551983123,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,25,10,38.0,0.6734885811805725,0.02632849692842782,0.6426677763462066,0.025055052665985653,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,30,10,43.0,0.6908954799175262,0.027723724254744557,0.6588851809501648,0.024628371552327704,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,35,10,48.0,0.6832224369049072,0.0260920800726685,0.6532842516899109,0.021172194668455678,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,40,10,53.0,0.6944439768791199,0.018951104888493147,0.664831954240799,0.01163725392127996,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_core,neutron,baseline,en,45,10,58.0,0.7034332752227783,0.0,0.6707813441753387,0.00027890691889613663,0.0,0.0,11.0,0.0
